iter	TotalF1	MultiClass
712	0.6447824783	0.9096303044
713	0.6452294247	0.9091933767
714	0.6453666205	0.9087860936
715	0.6454229495	0.9083902735
716	0.6457993099	0.9080331169
717	0.6458817373	0.907784364
718	0.6461256516	0.9075683592
719	0.6460194272	0.9073634785
720	0.6462840132	0.906901
721	0.6465043213	0.9066304463
722	0.6468613143	0.9062413815
723	0.6472647675	0.9058516335
724	0.6473543456	0.9056812659
725	0.6475096529	0.9054084597
726	0.6474704186	0.9052441807
727	0.6477163222	0.9050240472
728	0.6482003742	0.90457248
729	0.6482650569	0.9043740682
730	0.6481597425	0.904042136
731	0.6481834824	0.9036727429
732	0.6482639983	0.9034073948
733	0.6486115115	0.9030237995
734	0.6488264851	0.9026324079
735	0.6491359016	0.9023284218
736	0.6492506762	0.9021543298
737	0.6493871363	0.9019197253
738	0.6495167154	0.9016800602
739	0.6496306847	0.9014691012
740	0.649738662	0.9012169595
741	0.6499099974	0.9007809315
742	0.6500651129	0.9004910244
743	0.6503194082	0.8999791241
744	0.6505209212	0.899712787
745	0.6506969866	0.8995240641
746	0.6508596659	0.8992483609
747	0.6510543846	0.8990442121
748	0.6510598978	0.8986580988
749	0.6513426974	0.8984170008
750	0.6513805799	0.8981360406
751	0.6513560768	0.8979716067
752	0.6515353265	0.8977726233
753	0.6517726973	0.8974083168
754	0.6520281452	0.8971089175
755	0.6521140684	0.896913827
756	0.6521706109	0.8965667452
757	0.6522521182	0.8962944593
758	0.6526829667	0.8958371984
759	0.6529159202	0.8955393115
760	0.6530391846	0.8953195533
761	0.653258329	0.8951125167
762	0.6534851182	0.8947250169
763	0.6536966576	0.8943306497
764	0.653947706	0.8939481577
765	0.6538802743	0.8935938135
766	0.6539846756	0.8933168845
767	0.6542434873	0.8929795596
768	0.6544192713	0.8927323124
769	0.6547092181	0.8924148252
770	0.6549635375	0.8920691188
771	0.6551516481	0.8916306862
772	0.6552383387	0.8913050413
773	0.6558552736	0.8907816753
774	0.6560956746	0.8905499313
775	0.6564084466	0.890139863
776	0.6568343839	0.8898010432
777	0.6569905811	0.8894565167
778	0.6571994405	0.8892129796
779	0.6573939906	0.8888417389
780	0.6574669003	0.888697103
781	0.6575515262	0.8883427973
782	0.6578834288	0.8879674968
783	0.6580607118	0.8876424424
784	0.6583777185	0.887248983
785	0.6587577649	0.8869212837
786	0.6590245023	0.8866685253
787	0.6590015534	0.8864447185
788	0.6593644402	0.8861331033
789	0.6593717587	0.885751353
790	0.6597196513	0.8852800544
791	0.6599546173	0.8849565987
792	0.6601510014	0.8845467917
793	0.6603573818	0.8842860039
794	0.660474051	0.8838840614
795	0.660534514	0.8834563834
796	0.6607260536	0.8832130513
797	0.6608267003	0.882897265
798	0.6610351844	0.8826139903
799	0.6612394529	0.882373329
800	0.6614765218	0.8820631101
801	0.6618589563	0.8816981558
802	0.6621479141	0.8813688125
803	0.6621025613	0.8811407763
804	0.6623441289	0.8808305965
805	0.6624711744	0.8805809948
806	0.6626623103	0.8801694186
807	0.66278687	0.8799602052
808	0.6632720308	0.8795810592
809	0.6632647725	0.8794160675
810	0.6636912304	0.8791961372
811	0.6638969777	0.8788165844
812	0.6638940031	0.8786248082
813	0.6643509446	0.8782914126
814	0.6645269787	0.8779952892
815	0.6648978751	0.8774670879
816	0.6651747106	0.8771953021
817	0.6655314506	0.8767891642
818	0.6656887046	0.8764958694
819	0.6656709563	0.8762450908
820	0.66588288	0.8758767158
821	0.6660367227	0.8756711548
822	0.6662585913	0.8754402755
823	0.6661960742	0.8750920441
824	0.6664644259	0.8748526883
825	0.6668621906	0.8744750142
826	0.6672127977	0.8741161205
827	0.6672977006	0.8738837837
828	0.6672002417	0.873486572
829	0.6675616743	0.8731418519
830	0.6676582863	0.8729647045
831	0.6679511907	0.8726070227
832	0.6679711065	0.8723604576
833	0.6683030148	0.8721233407
834	0.6683504631	0.8719315782
835	0.6684326218	0.8716101522
836	0.6687551242	0.8713060229
837	0.6691495143	0.8710332995
838	0.669240206	0.870606825
839	0.66919453	0.8702972259
840	0.6695697882	0.8699761722
841	0.6699154615	0.8695966657
842	0.6702357623	0.8693153966
843	0.6704100445	0.8690704459
844	0.6707327128	0.8688069176
845	0.6709085336	0.8684772219
846	0.6709807562	0.8681914629
847	0.671309188	0.867702949
848	0.6714755631	0.8674431678
849	0.6716435588	0.8672120635
850	0.6717880267	0.8669218769
851	0.6719025811	0.8667173473
852	0.6717757988	0.8664207705
853	0.6719722031	0.8660469691
854	0.6720414879	0.8658295772
855	0.6725152079	0.8654783699
856	0.6728620849	0.8651454058
857	0.672923814	0.8647916608
858	0.6730453327	0.8644806576
859	0.673305941	0.8641948683
860	0.6734229053	0.863987996
861	0.6734884348	0.8637759311
862	0.6740382016	0.8634158998
863	0.6742515312	0.8630122964
864	0.6746347461	0.862633708
865	0.6749586935	0.8622030226
866	0.6751887526	0.8618309634
867	0.6751914359	0.8615470833
868	0.6753202285	0.8611643109
869	0.6756308248	0.8608116917
870	0.6760280553	0.8604744686
871	0.6762501388	0.8601650428
872	0.6764805617	0.8597893563
873	0.6765294634	0.8595627528
874	0.676568467	0.8592559661
875	0.6768617807	0.858894659
876	0.6771713446	0.8585035742
877	0.6771243568	0.8582362045
878	0.6774652332	0.8578961491
879	0.6776752219	0.8576812103
880	0.677811455	0.8572909622
881	0.6778786969	0.856839705
882	0.6780604223	0.8565872689
883	0.6781552871	0.8563708299
884	0.6785470039	0.8560289064
885	0.6785517322	0.8557227472
886	0.6786958402	0.8555510423
887	0.6787083343	0.8552625749
888	0.6788375708	0.855102537
889	0.6791860757	0.8546635208
890	0.6792240636	0.8544780745
891	0.6793031034	0.8542498823
892	0.6796379747	0.8539258596
893	0.6797526961	0.8536817244
894	0.6801057573	0.85335341
895	0.6802087696	0.853137489
896	0.6805838457	0.852814869
897	0.6807293393	0.8523048092
898	0.6807914562	0.8517561202
899	0.6810092877	0.8513213944
900	0.6812169507	0.8510770774
901	0.681339028	0.8508931093
902	0.6816952778	0.8505234176
903	0.6816892162	0.8502140254
904	0.682031929	0.8498112024
905	0.6821567072	0.8495208152
906	0.6823464386	0.8491735861
907	0.6828247584	0.8488561656
908	0.6831416956	0.8485328233
